"Summary","Issue Type","Priority","Labels","Description"
"Admin Coupon Creation Modal Allows Negative Discount Values and Zero Limits","Bug","Medium","admin console","[SEVERITY & IMPACT]
P2 - Financial Logic Glitch.
Admin interface allows entering a negative discount amount (e.g. -500), which would mathematically INCREASE the customer pass price during checkout instead of discounting it.

[AFFECTED FILES & LINES]
- fitempire-web/src/admin/pages/CouponsPage.tsx

[TECHNICAL ROOT CAUSE]
Form inputs lack min=""1"" validation attributes and client-side form validation schema (Zod / Yup) checking value > 0.

[STEPS TO REPRODUCE]
1. Open Admin -> Coupons -> ""Create Coupon"".
2. Type discount value ""-100"" and submit.
3. Coupon is saved with negative discount value.

[EXPECTED BEHAVIOR]
Form should reject negative or zero values with validation error: ""Discount value must be greater than 0.""

[ACTUAL BEHAVIOR]
Negative discount values are submitted successfully.

[PROPOSED RESOLUTION]
Add min=""1"" HTML attribute and validate input > 0 in form submit handler."
"Admin Refund Management Interface Lacks Direct Trigger to Razorpay Refund API","Improvement","Low","admin payments","[SEVERITY & IMPACT]
P3 - Operational Efficiency.
When an admin marks a refund request as ""APPROVED"", they must manually log into the separate Razorpay merchant dashboard to execute the bank refund, risking forgot-to-refund human errors.

[AFFECTED FILES & LINES]
- fitempire-web/src/admin/pages/RefundsPage.tsx
- fitempire-backend/src/main/java/com/fitempire/modules/payments/service/RazorpayService.java

[TECHNICAL ROOT CAUSE]
Approving a refund only updates the local database status to APPROVED without invoking Razorpay payment.refund(amount) via SDK.

[STEPS TO REPRODUCE]
1. Customer requests refund for unused pass.
2. Admin clicks ""Approve Refund"".
3. Status changes to APPROVED in admin panel, but no money is credited back to customer bank account until admin manually does it on Razorpay.

[EXPECTED BEHAVIOR]
Approving refund should prompt: ""Process automated refund via Razorpay? [Yes, Refund ₹1,499]"" and trigger Razorpay refund API.

[ACTUAL BEHAVIOR]
Local database update only; actual fund reversal remains manual.

[PROPOSED RESOLUTION]
Implement Razorpay automated refund integration in RefundService.approveRefund()."
"Web Landing Page Testimonial Carousel Lacks Touch-Swipe Navigation on Mobile Browsers","Improvement","Low","frontend ui","[SEVERITY & IMPACT]
P3 - Mobile Web Usability.
Users browsing FitEmpire on mobile web browsers (Safari / Chrome mobile) cannot swipe left/right across customer reviews, forced to tap tiny 8px navigation dot buttons.

[AFFECTED FILES & LINES]
- fitempire-web/src/components/TestimonialsSection.tsx

[TECHNICAL ROOT CAUSE]
Carousel relies on static CSS state with button clicks, omitting touchstart and touchend touch gesture delta calculations.

[STEPS TO REPRODUCE]
1. Open https://fitempire.tech on mobile phone browser.
2. Scroll to Testimonials section and attempt to swipe left.
3. Carousel does not move; only tiny pagination dots change slides.

[EXPECTED BEHAVIOR]
Smooth touch swipe gesture allowing thumb flicking between testimonial cards.

[ACTUAL BEHAVIOR]
Swiping does nothing.

[PROPOSED RESOLUTION]
Add touch gesture handlers (onTouchStart / onTouchEnd) or integrate Embla Carousel."
"Primary Landing Page Call-to-Action Buttons Lack Analytics Tracking Events","Improvement","Low","frontend analytics","[SEVERITY & IMPACT]
P3 - Marketing Attribution & Conversion Analytics.
Growth and marketing teams cannot determine conversion rates because clicks on ""Get Pass Now"", ""Download App"", and ""Join as Partner"" do not fire Google Analytics (GA4) or Mixpanel event tags.

[AFFECTED FILES & LINES]
- fitempire-web/src/components/HeroSection.tsx
- fitempire-web/src/components/PricingSection.tsx

[TECHNICAL ROOT CAUSE]
Button onClick handlers trigger navigation only without dispatching window.gtag('event', 'cta_click', { ... }).

[STEPS TO REPRODUCE]
1. Open web inspector Network tab filtering for collect (Google Analytics).
2. Click ""Get Empire Pass Now"" in hero section.
3. No analytics beacon is dispatched.

[EXPECTED BEHAVIOR]
Every primary CTA click should fire an analytics event with button label and placement metadata.

[ACTUAL BEHAVIOR]
Zero analytics tracking on primary conversion CTAs.

[PROPOSED RESOLUTION]
Create trackEvent(action, category, label) utility and attach to all conversion buttons."
"Contact Us Form Submits Without Client-Side RFC Email Format Validation","Bug","Medium","frontend forms","[SEVERITY & IMPACT]
P2 - Lead Quality & Data Hygiene.
Users entering typos like user@gmail (missing .com) or plain names can submit the contact form, resulting in broken leads that sales teams cannot reply to.

[AFFECTED FILES & LINES]
- fitempire-web/src/components/ContactSection.tsx

[TECHNICAL ROOT CAUSE]
Email input uses type=""text"" instead of type=""email"" and lacks standard regex email format validation before form dispatch.

[STEPS TO REPRODUCE]
1. Go to Contact form on landing page.
2. Enter email ""rahulsharma@"" and click Send Message.
3. Form submits successfully and displays ""Thank you for reaching out!"".
4. Invalid email stored in database.

[EXPECTED BEHAVIOR]
Form should block submission with validation tooltip: ""Please enter a valid email address.""

[ACTUAL BEHAVIOR]
Malformed emails accepted without error.

[PROPOSED RESOLUTION]
Enforce type=""email"" and regex validation /^[\w-\.]+@([\w-]+\.)+[\w-]{2,4}$/ before submission."
"Admin Financial Report Export Lacks CSV / Excel Download for Accounting Team","Improvement","Low","admin reports","[SEVERITY & IMPACT]
P3 - Operational Efficiency.
Finance and tax accountants must manually copy-paste daily transaction rows into spreadsheets because the admin payments overview does not provide an ""Export to Excel / CSV"" button.

[AFFECTED FILES & LINES]
- fitempire-web/src/admin/pages/PaymentsPage.tsx

[TECHNICAL ROOT CAUSE]
Table component lacks export utility parsing payments array into CSV Blob for download.

[STEPS TO REPRODUCE]
1. Open Admin -> Payments & Transactions.
2. View 1,200 transactions.
3. No button exists to download data as spreadsheet.

[EXPECTED BEHAVIOR]
""Export CSV"" button generating a spreadsheet containing Transaction ID, User, Amount, Razorpay Fee, GST, and Date.

[ACTUAL BEHAVIOR]
No export button available.

[PROPOSED RESOLUTION]
Add ExportPaymentsButton converting table records to formatted CSV."
"Production Dockerfile Runs Backend Container Process as Root User Instead of Dedicated Non-Root User","Improvement","Low","devops docker","[SEVERITY & IMPACT]
P3 - Container Security Hardening (CIS Benchmark).
Running Java containers as root (UID 0) increases the blast radius of remote code execution vulnerabilities, allowing attackers to potentially break out of container boundaries to host OS.

[AFFECTED FILES & LINES]
- fitempire-backend/Dockerfile

[TECHNICAL ROOT CAUSE]
The Dockerfile uses FROM eclipse-temurin:21-jre without defining a dedicated system group and user (USER appuser).

[STEPS TO REPRODUCE]
1. Build and run backend Docker image: docker run fitempire-backend.
2. Run docker exec -it <container_id> whoami.
3. Output returns root.

[EXPECTED BEHAVIOR]
Container should execute under an unprivileged user (USER appuser / UID 10001).

[ACTUAL BEHAVIOR]
Process runs as root superuser.

[PROPOSED RESOLUTION]
Add user creation in Dockerfile: RUN addgroup --system appgroup && adduser --system --ingroup appgroup appuser; USER appuser."
"Docker Compose File Lacks Healthcheck Definitions for PostgreSQL and Redis Services","Bug","Medium","devops docker","[SEVERITY & IMPACT]
P2 - Startup Race Condition & Container Boot Failures.
When running docker-compose up, the backend container starts simultaneously with PostgreSQL. Since Postgres takes 5-10 seconds to initialize, backend crashes with Connection refused before database is ready.

[AFFECTED FILES & LINES]
- docker-compose.yml (Lines 20-45)

[TECHNICAL ROOT CAUSE]
depends_on: [postgres, redis] only waits for container creation, not readiness, because postgres service lacks a healthcheck block (pg_isready -U postgres).

[STEPS TO REPRODUCE]
1. Run docker-compose down -v followed by docker-compose up.
2. Backend container boots instantly and throws org.postgresql.util.PSQLException: Connection to localhost:5432 refused.
3. Backend exits with code 1.

[EXPECTED BEHAVIOR]
Backend service should wait until PostgreSQL passes healthcheck: condition: service_healthy.

[ACTUAL BEHAVIOR]
Backend crashes on cold container startup due to race condition.

[PROPOSED RESOLUTION]
Add healthcheck test: [""CMD-SHELL"", ""pg_isready -U postgres""] to postgres service and update backend to depends_on: condition: service_healthy."
"Automated Daily PostgreSQL Database Backup Cron Script Missing for Production Recovery","Improvement","Low","devops backup","[SEVERITY & IMPACT]
P3 - Disaster Recovery & Business Continuity.
In the event of accidental table drops, ransomware, or cloud provider region outage, the system lacks an automated daily cron dumping and uploading encrypted pg_dump archives to an isolated S3 bucket.

[AFFECTED FILES & LINES]
- scripts/aws/
- docker-compose.yml

[TECHNICAL ROOT CAUSE]
No automated backup script or cron job exists in repository automation scripts.

[STEPS TO REPRODUCE]
1. Inspect scripts/ directory.
2. Deployment scripts exist, but zero database backup, snapshot, or restore scripts are present.

[EXPECTED BEHAVIOR]
Automated nightly backup script dumping database (pg_dump -Fc), compressing, and pushing to AWS S3 with 30-day retention policy.

[ACTUAL BEHAVIOR]
No backup automation present.

[PROPOSED RESOLUTION]
Create scripts/backup-database.sh running nightly via crontab and uploading to private S3 bucket."
"GitHub Actions CI Pipeline Does Not Cache Maven and Node Dependencies Slowing Build Times","Improvement","Low","devops ci","[SEVERITY & IMPACT]
P3 - CI/CD Velocity & GitHub Actions Minutes.
Every push to main re-downloads 400MB of Maven JARs and 500MB of npm node_modules from scratch, making pull request validation take 12+ minutes instead of 2 minutes.

[AFFECTED FILES & LINES]
- .github/workflows/ci.yml

[TECHNICAL ROOT CAUSE]
The actions/setup-java and actions/setup-node steps do not configure cache: 'maven' and cache: 'npm'.

[STEPS TO REPRODUCE]
1. Push a one-line README commit to GitHub.
2. Inspect GitHub Actions build log.
3. Maven downloads every dependency from Maven Central from scratch.

[EXPECTED BEHAVIOR]
Dependencies should be cached using actions/cache, reducing build time to under 3 minutes.

[ACTUAL BEHAVIOR]
Redundant downloads on every CI run.

[PROPOSED RESOLUTION]
Add cache: 'maven' to actions/setup-java and cache: 'npm' to actions/setup-node."
"Nginx Reverse Proxy Configuration Lacks Gzip and Brotli Compression for Static Web Bundles","Improvement","Low","devops nginx","[SEVERITY & IMPACT]
P3 - Web Performance & Lighthouse Score.
Deploying the Vite web bundles without gzip compression serves raw 1.8MB JavaScript files over the wire, causing poor Google Lighthouse scores on mobile 4G networks.

[AFFECTED FILES & LINES]
- scripts/aws/deploy-frontends-ec2.sh
- nginx.conf

[TECHNICAL ROOT CAUSE]
Nginx configuration block lacks gzip on; and gzip_types application/javascript text/css application/json; directives.

[STEPS TO REPRODUCE]
1. Inspect response headers for /assets/index-*.js on production site.
2. Content-Encoding: gzip header is missing; full uncompressed payload transferred.

[EXPECTED BEHAVIOR]
Nginx should compress JavaScript and CSS assets, shrinking payload size by ~70% (1.8MB -> 420KB).

[ACTUAL BEHAVIOR]
Uncompressed static bundles served.

[PROPOSED RESOLUTION]
Enable gzip compression and gzip_comp_level 6 in Nginx server block."
"Production Docker Image Includes Development Build Tools and Maven Artifacts","Improvement","Low","devops docker","[SEVERITY & IMPACT]
P3 - Docker Image Size & Security Surface.
Single-stage Docker builds leave the Maven compiler, source code, and local repository inside the production container image, inflating image size from 220MB to 1.2GB.

[AFFECTED FILES & LINES]
- fitempire-backend/Dockerfile

[TECHNICAL ROOT CAUSE]
Dockerfile does not implement a multi-stage build separating builder (maven:3.9-eclipse-temurin) from runtime (eclipse-temurin:21-jre-alpine).

[STEPS TO REPRODUCE]
1. Build backend Docker image.
2. Inspect image size: docker images fitempire-backend -> 1.25 GB.

[EXPECTED BEHAVIOR]
Lean multi-stage Docker image containing only the compiled JAR and minimal JRE runtime (< 250MB).

[ACTUAL BEHAVIOR]
Bloated 1.2GB image containing full build tooling.

[PROPOSED RESOLUTION]
Implement multi-stage Dockerfile: STAGE 1 (Build with Maven) -> STAGE 2 (Copy JAR to slim JRE image)."
"Docker Daemon and Compose Lack Container Log Rotation Policy Risking Host Disk Exhaustion","Improvement","Low","devops docker","[SEVERITY & IMPACT]
P3 - Host Stability & Uptime.
Docker default logging driver stores JSON logs indefinitely with no size limit. Over months of operation, backend logs grow to 50GB+, filling the host EC2 disk and crashing all services.

[AFFECTED FILES & LINES]
- docker-compose.yml

[TECHNICAL ROOT CAUSE]
Services do not define logging: { driver: 'json-file', options: { 'max-size': '50m', 'max-file': '5' } }.

[STEPS TO REPRODUCE]
1. Check container log files in /var/lib/docker/containers/*/*.log on production host.
2. Log files grow continuously with no rotation or truncation.

[EXPECTED BEHAVIOR]
Container logs should rotate at 50MB with maximum 5 files retained per container.

[ACTUAL BEHAVIOR]
Logs grow indefinitely until server disk space is exhausted.

[PROPOSED RESOLUTION]
Configure logging options with max-size: ""50m"" and max-file: ""5"" in docker-compose.yml."
